Product Name,URL,Price,Rating,Number of Ratings,Number of Reviews
"Primebook 4G enabled Android based MediaTek MT8788 - (4 GB/128 GB EMMC Storage/Prime OS) S 4G Thin and Light Laptop  (11 Inch, Indigo Blue, 1.065 Kg)",https://www.flipkart.com/primebook-4g-enabled-android-based-mediatek-mt8788-4-gb-128-gb-emmc-storage-prime-os-s-thin-light-laptop/p/itm614bf04e77c5f?pid=COMGQY4KFGJ2Q3GV&lid=LSTCOMGQY4KFGJ2Q3GV8YOIGY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAsFxtzZxvi__iK7YrB58sdogKk42aIq64z759QpogykJg%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹14,990",3.5,26 Ratings,4 Reviews
"Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.65 kg, With MS Office)",https://www.flipkart.com/lenovo-ideapad-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itme5037d20a9bc5?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG3MJBCRU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAsFgqtd5LTrmmEISFSWRdORUGhT3uN7N6bZEdUdqBcXcw%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹49,490",4.3,"2,364 Ratings",250 Reviews
"ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)",https://www.flipkart.com/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-x515ea-ej328ws-thin-light-laptop/p/itmaafbc240a8774?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGA5TUCZAV4HGH.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹37,990",4.3,"4,561 Ratings",411 Reviews
"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A  (13.3 inch, Space Grey, 1.29 kg)",https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹81,990",4.7,"11,346 Ratings",982 Reviews
"ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0002 / CX1101CMA-GJ0007 Chromebook  (11.6 Inch, Transparent Silver, 1.24 Kg)",https://www.flipkart.com/asus-chromebook-celeron-dual-core-4-gb-64-gb-emmc-storage-chrome-os-cx1101cma-id-gj0002-cx1101cma-gj0007/p/itm98e4a5996cc9e?pid=COMG8Z984EZHKCWK&lid=LSTCOMG8Z984EZHKCWKJZQEOK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMG8Z984EZHKCWK.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹14,990",3.6,427 Ratings,53 Reviews
"HP 15s (2023) Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",https://www.flipkart.com/hp-15s-2023-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-ey1509au-thin-light-laptop/p/itmc009103a641d9?pid=COMGZVGHZXXRMWMU&lid=LSTCOMGZVGHZXXRMWMUKR6CBK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGZVGHZXXRMWMU.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹31,990",4.1,"1,850 Ratings",163 Reviews
"HP 15s (2023) Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",https://www.flipkart.com/hp-15s-2023-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itm2260c2112e85a?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6M1AFYO2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGZVGHE9QU8C6M.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹42,990",4.2,505 Ratings,42 Reviews
"Primebook 4G Android Based MediaTek MT8788 - (4 GB/128 GB EMMC Storage/Prime OS) 4G Thin and Light Laptop  (11.6 Inch, Black, 1.065 Kg)",https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-128-gb-emmc-storage-prime-os-thin-light-laptop/p/itm361eee1f998f3?pid=COMGH2NKUSYTW4HN&lid=LSTCOMGH2NKUSYTW4HN4SJNGE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_Jy2UDLfP-agUA_A0xUcZr2zfco3dSkn1eApH9rPPIAubY3rI8XyG3TabnDZMQoTgFoPBvTrdFKWRoNUZ39tzkg%3D%3D&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹14,990",4.1,532 Ratings,167 Reviews
"HP 15s (2023) Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",https://www.flipkart.com/hp-15s-2023-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-15s-fr4001tu-thin-light-laptop/p/itm2420d6e75acdb?pid=COMGZNSB6GCJVUPX&lid=LSTCOMGZNSB6GCJVUPXOWTDNN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGZNSB6GCJVUPX.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹55,990",4.3,"1,554 Ratings",113 Reviews
"MSI Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-031IN Thin and Light Laptop  (14 Inch, Classic Black, 1.4 Kg)",https://www.flipkart.com/msi-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-modern-14-c11m-031in-thin-light-laptop/p/itme0a2ae79e5158?pid=COMGMV6V2AGHSSDM&lid=LSTCOMGMV6V2AGHSSDMORMXTI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=ef7d14e1-fd7f-46d9-814c-11f93d12dd30.COMGMV6V2AGHSSDM.SEARCH&ppt=None&ppn=None&ssid=3wonkvcfo00000001692692076561&qH=c06ea84a1e3dc3c6,"₹32,990",4.3,444 Ratings,54 Reviews
