Product Name,URL,Price,Rating,Number of Ratings,Number of Reviews
"realme 11 Pro 5G (Astral Black, 128 GB)  (8 GB RAM)",https://www.flipkart.com/realme-11-pro-5g-astral-black-128-gb/p/itm3f783627a36ec?pid=MOBGPUNGFCGJH4NH&lid=LSTMOBGPUNGFCGJH4NHRHO6FJ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=en_r0pd6-i0trvh1gp8EVm-4YFAUu0j1cf7VcpmvoLBeaqwz4iiI9azVcRoUQ0jUZ_i2WFCrbp2fIMvTNybcg4n0w%3D%3D&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹23,999",4.3,"24,099 Ratings","2,220 Reviews"
"OPPO Reno10 5G (Ice Blue, 256 GB)  (8 GB RAM)",https://www.flipkart.com/oppo-reno10-5g-ice-blue-256-gb/p/itm8f29359478c6e?pid=MOBGQP3UUYGFGYKD&lid=LSTMOBGQP3UUYGFGYKDKTLXX3&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=en_r0pd6-i0trvh1gp8EVm-4YFAUu0j1cf7VcpmvoLBeapewm22709orAL0MTxKxYM_sxdeJEQATyKlHmHUrMFcuQ%3D%3D&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹32,999",4.2,"11,413 Ratings","1,670 Reviews"
"POCO C51 (Royal Blue, 64 GB)  (4 GB RAM)",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹6,499",4.1,"54,420 Ratings","2,935 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)  (4 GB RAM)",https://www.flipkart.com/samsung-galaxy-f13-nightsky-green-64-gb/p/itmeadfda1bd23fa?pid=MOBGENJWF4KJTPEN&lid=LSTMOBGENJWF4KJTPENS2XJXA&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGENJWF4KJTPEN.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹10,999",4.3,"1,66,921 Ratings","9,569 Reviews"
"POCO C51 (Power Black, 64 GB)  (4 GB RAM)",https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGZCQFWM5HZHXX.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹6,499",4.1,"54,420 Ratings","2,935 Reviews"
"POCO M6 Pro 5G (Forest Green, 64 GB)  (4 GB RAM)",https://www.flipkart.com/poco-m6-pro-5g-forest-green-64-gb/p/itmbd07561c8265a?pid=MOBGRNZ3GHQF3QEZ&lid=LSTMOBGRNZ3GHQF3QEZVYNCA7&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGRNZ3GHQF3QEZ.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹10,999",4.5,"3,013 Ratings",193 Reviews
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)  (4 GB RAM)",https://www.flipkart.com/samsung-galaxy-f13-waterfall-blue-64-gb/p/itm583ef432b2b0c?pid=MOBGENJWBPFYJSFT&lid=LSTMOBGENJWBPFYJSFTP8FGOC&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGENJWBPFYJSFT.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹10,999",4.3,"1,66,921 Ratings","9,569 Reviews"
"OPPO Find N2 Flip (Astral Black, 256 GB)  (8 GB RAM)",https://www.flipkart.com/oppo-find-n2-flip-astral-black-256-gb/p/itm8cfed9af48231?pid=MOBGN2NDWGYJTN8R&lid=LSTMOBGN2NDWGYJTN8RDVIDOY&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=en_r0pd6-i0trvh1gp8EVm-4YFAUu0j1cf7VcpmvoLBeaqgtlWvfVxnjgNtB6x7dgdwOdnhW1Mcc1_dzGszDzj1mg%3D%3D&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹89,999",4.2,265 Ratings,40 Reviews
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)  (4 GB RAM)",https://www.flipkart.com/samsung-galaxy-f13-sunrise-copper-64-gb/p/itm0d8c65ec17621?pid=MOBGENJWWRYSFC5P&lid=LSTMOBGENJWWRYSFC5P0ONQMC&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGENJWWRYSFC5P.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹10,999",4.3,"1,66,921 Ratings","9,569 Reviews"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)",https://www.flipkart.com/samsung-galaxy-f04-jade-purple-64-gb/p/itm0934dc56a1df7?pid=MOBGKY2VTP3XETBR&lid=LSTMOBGKY2VTP3XETBRJKXEIM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_OrganicAutoSuggest_2_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_2_2_na_na_na&fm=organic&iid=29f5edfa-a397-4a89-b218-af37bcc170e2.MOBGKY2VTP3XETBR.SEARCH&ppt=None&ppn=None&ssid=ph70nz0s1s0000001692691910420&qH=1036ba3c4ed2c021,"₹8,499",4.2,"39,284 Ratings","2,247 Reviews"
